档位,院校代号,院校名称,专业组类型,2025专业组名称,2025投档线,2025投档位次,位次比值,2026有美术计划,2026计划人数,2026美术组数,2025备注要求
垫底(过保),3587,厦门华厦学院,普通,第103组(美术与设计类),280.4,8264,3.5,是,3,1,
垫底(过保),3519,厦门大学嘉庚学院,普通,第104组(美术与设计类),280.4,8264,3.5,是,6,1,
垫底(过保),5153,四川大学锦江学院,普通,第103组(美术与设计类),280.2,8319,3.52,是,4,1,
垫底(过保),6511,喀什大学,普通,第104组(美术与设计类),280.2,8319,3.52,是,28,1,
垫底(过保),4130,郑州经贸学院,普通,第101组(美术与设计类),280.1,8340,3.53,是,5,1,
垫底(过保),6537,新疆政法学院,普通,第102组(美术与设计类),280.1,8340,3.53,是,8,2,
垫底(过保),5030,重庆移通学院,普通,第101组(美术与设计类),280.0,8366,3.54,是,20,1,
垫底(过保),4552,桂林学院,普通,第101组(美术与设计类),279.8,8420,3.56,是,3,1,
垫底(过保),4830,武汉工商学院,普通,第103组(美术与设计类),279.8,8420,3.56,是,9,2,
垫底(过保),5056,重庆人文科技学院,普通,第105组(美术与设计类),279.6,8491,3.59,是,2,1,
垫底(过保),4242,湖北师范大学文理学院,普通,第103组(美术与设计类),279.4,8539,3.61,是,4,1,
垫底(过保),6528,昌吉学院,普通,第105组(美术与设计类),279.3,8573,3.63,是,40,1,
垫底(过保),4723,湖南科技大学潇湘学院,普通,第101组(美术与设计类),279.2,8592,3.63,否,,,
垫底(过保),3645,南昌理工学院,普通,第103组(美术与设计类),279.2,8592,3.63,是,7,2,
垫底(过保),5239,贵阳人文科技学院,普通,第101组(美术与设计类),279.1,8616,3.64,否,,,
垫底(过保),4454,广州理工学院,普通,第104组(美术与设计类),279.0,8647,3.66,是,4,1,
垫底(过保),4436,珠海科技学院,普通,第101组(美术与设计类),278.8,8689,3.68,是,6,1,
垫底(过保),5056,重庆人文科技学院,普通,第104组(美术与设计类),278.8,8689,3.68,是,2,1,
垫底(过保),1359,河北传媒学院,普通,第104组(美术与设计类),278.7,8713,3.69,是,5,1,
垫底(过保),3665,南昌工学院,普通,第101组(美术与设计类),278.6,8739,3.7,是,8,2,
